name,mass,year,lat,lng,recclass,group,fall,id
Lissa,12800.0,1808,50.2,14.85,L6,Stony,Fell,14661
Moradabad,70.0,1808,28.7833,78.8333,L6,Stony,Fell,16740
Stannern,52000.0,1808,49.2833,15.5667,Eucrite-mmict,Stony,Fell,23713
Red River,800000.0,1808,32.0,-95.0,"Iron, IIIAB",Iron,Found,22548
Kikino,195.0,1809,55.0,34.0,H6,Stony,Fell,12306
Caswell County,1360.0,1810,36.5,-79.25,OC,Stony,Fell,5296
Charsonville,27000.0,1810,47.9333,1.5667,H6,Stony,Fell,5329
Mooresfort,3520.0,1810,52.45,-8.3333,H5,Stony,Fell,16737
Brahin,823000.0,1810,52.5,30.3333,"Pallasite, PMG",Stony-Iron,Found,5130
Santa Rosa,825000.0,1810,5.9167,-73.0,"Iron, IC",Iron,Found,23167
Berlanguillas,1440.0,1811,41.6833,-3.8,L6,Stony,Fell,5029
Kuleschovka,6000.0,1811,50.75,33.5,L6,Stony,Fell,12370
Punganaru,100.0,1811,13.3333,78.95,Stone-uncl,Stony,Fell,18902
Borodino,500.0,1812,55.4667,35.8667,H5,Stony,Fell,5114
Chantonnay,31500.0,1812,46.6833,1.05,L6,Stony,Fell,5325
Erxleben,2250.0,1812,52.2167,11.25,H6,Stony,Fell,10049
Toulouse,1030.0,1812,43.6,1.4,H6,Stony,Fell,24036
Limerick,50000.0,1813,52.5667,-8.7833,H5,Stony,Fell,14652
Luotolax,885.0,1813,61.2,27.7,Howardite,Stony,Fell,14756
Agen,30000.0,1814,44.2167,0.6167,H5,Stony,Fell,392
Bachmut,18000.0,1814,48.6,38.0,L6,Stony,Fell,4917
Chail,0.5,1814,25.3667,81.6667,H6,Stony,Fell,5314
Gurram Konda,28.0,1814,13.7833,78.5667,L6,Stony,Fell,11464
Lenarto,108500.0,1814,49.0,21.0,"Iron, IIIAB",Iron,Found,12763
Chassigny,4000.0,1815,47.7167,5.3667,Martian (chassignite),Stony,Fell,5331
Durala,13200.0,1815,30.3,76.6333,L6,Stony,Fell,7750
Hachi-oji,0.2,1817,35.65,139.3333,H?,Stony,Fell,11468
Seres,8500.0,1818,41.05,23.5667,H4,Stony,Fell,23501
Slobodka,2750.0,1818,55.0,35.0,L4,Stony,Fell,23645
Zaborzika,3867.0,1818,50.2833,27.6833,L6,Stony,Fell,30379
Cambria,16300.0,1818,43.2,-78.8,"Iron, ungrouped",Iron,Found,5203
Cape York,58200000.0,1818,76.1333,-64.9333,"Iron, IIIAB",Iron,Found,5262
Jonzac,5000.0,1819,45.4333,-0.45,Eucrite-mmict,Stony,Fell,12202
Pohlitz,3000.0,1819,50.9333,12.1333,L5,Stony,Fell,18853
Burlington,68000.0,1819,42.75,-75.1833,"Iron, IIIE",Iron,Found,5172
Lixna,5213.0,1820,56.0,26.4333,H4,Stony,Fell,14670
Juvinas,91000.0,1821,44.7167,4.3,Eucrite-mmict,Stony,Fell,12214
Angers,0.0,1822,47.4667,-0.55,L6,Stony,Fell,2301
Épinal,277.0,1822,48.1833,6.4667,H5,Stony,Fell,10041
Futtehpur,4000.0,1822,25.95,80.8167,L6,Stony,Fell,10839
Kadonah,89.0,1822,27.0833,78.3333,H6,Stony,Fell,12221
Umbala,100.0,1822,30.3333,76.3333,LL5,Stony,Fell,24112
Guilford County,1100.0,1822,35.5667,-79.8333,"Iron, IIIAB",Iron,Found,11444
Imilac,920000.0,1822,-24.2033,-68.8067,"Pallasite, PMG",Stony-Iron,Found,12025
Botschetschki,614.0,1823,51.3333,33.8833,L4,Stony,Fell,5117
Nobleborough,2300.0,1823,44.0833,-69.4833,Eucrite-pmict,Stony,Fell,16984
Renazzo,1000.0,1824,44.7667,11.2833,CR2,Stony,Fell,22586
Tounkin,2000.0,1824,51.7333,102.5333,OC,Stony,Fell,24037
Zebrak,2000.0,1824,49.8833,13.9167,H5,Stony,Fell,30397
Honolulu,2420.0,1825,21.3,-157.8667,L5,Stony,Fell,11904
Nanjemoy,7500.0,1825,38.4167,-77.1667,H6,Stony,Fell,16904
Yanhuitlan,421000.0,1825,17.5333,-97.35,"Iron, IVA",Iron,Found,30349
Galapian,132.7,1826,44.3,0.4,H6,Stony,Fell,10846
Mineo,42.0,1826,37.2833,14.7,Pallasite,Stony-Iron,Fell,16696
Pavlograd,40000.0,1826,48.5333,35.9833,L6,Stony,Fell,18176
Bialystok,4000.0,1827,53.1,23.2,Eucrite-pmict,Stony,Fell,5042
Drake Creek,5000.0,1827,36.4,-86.5,L6,Stony,Fell,7728
Mhow,350.0,1827,25.9,83.6167,L6,Stony,Fell,16629
Richmond,1800.0,1828,37.4667,-77.5,LL5,Stony,Fell,22603
La Caille,626000.0,1828,43.7333,6.7833,"Iron, ungrouped",Iron,Found,12393
Deal,28.0,1829,40.25,-74.0,L6,Stony,Fell,6634
Forsyth,16300.0,1829,33.0167,-83.9667,L6,Stony,Fell,10164
Krasnoi-Ugol,2440.0,1829,54.0333,40.9,L6,Stony,Fell,12355
Bohumilitz,59000.0,1829,49.05,13.7667,"Iron, IAB-MG",Iron,Found,5099
Launton,1060.0,1830,51.9,-1.1167,L6,Stony,Fell,12740
Perth,2.0,1830,56.4,-3.4333,LL5,Stony,Fell,18797
