name,mass,year,lat,lng,recclass,group,fall,id
Yamato 791517,17.12,1979,-71.5,35.6667,L6,Stony,Found,26866
Yamato 791518,6.42,1979,-71.5,35.6667,L6,Stony,Found,26867
Yamato 791519,26.89,1979,-71.5,35.6667,H4,Stony,Found,26868
Yamato 791520,2.85,1979,-71.5,35.6667,L4,Stony,Found,26869
Yamato 791521,2.82,1979,-71.5,35.6667,L4,Stony,Found,26870
Yamato 791522,2.48,1979,-71.5,35.6667,L4,Stony,Found,26871
Yamato 791523,0.82,1979,-71.5,35.6667,L6,Stony,Found,26872
Yamato 791524,0.68,1979,-71.5,35.6667,H4,Stony,Found,26873
Yamato 791525,0.71,1979,-71.5,35.6667,L6,Stony,Found,26874
Yamato 791526,6.47,1979,-71.5,35.6667,H6,Stony,Found,26875
Yamato 791527,4.14,1979,-71.5,35.6667,H4,Stony,Found,26876
Yamato 791528,1.4,1979,-71.5,35.6667,L4,Stony,Found,26877
Yamato 791529,0.77,1979,-71.5,35.6667,L6,Stony,Found,26878
Yamato 791531,77.92,1979,-71.5,35.6667,L5,Stony,Found,26880
Yamato 791532,28.31,1979,-71.5,35.6667,L5,Stony,Found,26881
Yamato 791535,15.52,1979,-71.5,35.6667,H4,Stony,Found,26884
Yamato 791536,839.0,1979,-71.5,35.6667,LL6,Stony,Found,26885
Yamato 791537,66.18,1979,-71.5,35.6667,H3.6,Stony,Found,26886
Yamato 791538,419.03,1979,-71.5,35.6667,Ureilite,Stony,Found,26887
Yamato 791539,1907.0,1979,-71.5,35.6667,LL,Stony,Found,26888
Yamato 791540,9.95,1979,-71.5,35.6667,LL,Stony,Found,26889
Yamato 791541,5.79,1979,-71.5,35.6667,LL,Stony,Found,26890
Yamato 791542,2.44,1979,-71.5,35.6667,LL,Stony,Found,26891
Yamato 791543,0.99,1979,-71.5,35.6667,LL,Stony,Found,26892
Yamato 791544,1.58,1979,-71.5,35.6667,H6,Stony,Found,26893
Yamato 791545,195.17,1979,-71.5,35.6667,L4,Stony,Found,26894
Yamato 791546,76.87,1979,-71.5,35.6667,H4,Stony,Found,26895
Yamato 791547,2.92,1979,-71.5,35.6667,H4,Stony,Found,26896
Yamato 791548,2.1,1979,-71.5,35.6667,H4,Stony,Found,26897
Yamato 791549,1.9,1979,-71.5,35.6667,H4,Stony,Found,26898
Yamato 791550,1.17,1979,-71.5,35.6667,H4,Stony,Found,26899
Yamato 791555,1.06,1979,-71.5,35.6667,H6,Stony,Found,26904
Yamato 791556,129.25,1979,-71.5,35.6667,H5,Stony,Found,26905
Yamato 791557,90.65,1979,-71.5,35.6667,L6,Stony,Found,26906
Yamato 791558,101.64,1979,-71.5,35.6667,LL3.15,Stony,Found,26907
Yamato 791559,26.21,1979,-71.5,35.6667,H6,Stony,Found,26908
Yamato 791560,61.67,1979,-71.5,35.6667,H4,Stony,Found,26909
Yamato 791561,54.27,1979,-71.5,35.6667,H4,Stony,Found,26910
Yamato 791562,205.32,1979,-71.5,35.6667,H4,Stony,Found,26911
Yamato 791563,487.87,1979,-71.5,35.6667,H4,Stony,Found,26912
Yamato 791564,84.31,1979,-71.5,35.6667,H4,Stony,Found,26913
Yamato 791565,8.13,1979,-71.5,35.6667,H4,Stony,Found,26914
Yamato 791566,497.17,1979,-71.5,35.6667,L6,Stony,Found,26915
Yamato 791567,67.98,1979,-71.5,35.6667,H4,Stony,Found,26916
Yamato 791568,40.07,1979,-71.5,35.6667,L6,Stony,Found,26917
Yamato 791569,10.58,1979,-71.5,35.6667,L6,Stony,Found,26918
Yamato 791570,0.58,1979,-71.5,35.6667,L6,Stony,Found,26919
Yamato 791571,23.68,1979,-71.5,35.6667,L6,Stony,Found,26920
Yamato 791572,6.31,1979,-71.5,35.6667,H4,Stony,Found,26921
Yamato 791573,134.33,1979,-71.5,35.6667,Howardite,Stony,Found,26922
Yamato 791574,199.73,1979,-71.5,35.6667,L5/6,Stony,Found,26923
Yamato 791575,3.19,1979,-71.5,35.6667,L6,Stony,Found,26924
Yamato 791576,4.4,1979,-71.5,35.6667,L5/6,Stony,Found,26925
Yamato 791577,481.41,1979,-71.5,35.6667,L6,Stony,Found,26926
Yamato 791578,191.44,1979,-71.5,35.6667,L6,Stony,Found,26927
Yamato 791579,108.06,1979,-71.5,35.6667,L6,Stony,Found,26928
Yamato 791580,114.6,1979,-71.5,35.6667,L6,Stony,Found,26929
Yamato 791581,9.61,1979,-71.5,35.6667,L6,Stony,Found,26930
Yamato 791582,3.26,1979,-71.5,35.6667,L6,Stony,Found,26931
Yamato 791583,6.69,1979,-71.5,35.6667,L6,Stony,Found,26932
Yamato 791584,2.52,1979,-71.5,35.6667,L6,Stony,Found,26933
Yamato 791585,79.19,1979,-71.5,35.6667,L6,Stony,Found,26934
Yamato 791586,219.68,1979,-71.5,35.6667,L6,Stony,Found,26935
Yamato 791587,99.82,1979,-71.5,35.6667,L4,Stony,Found,26936
Yamato 791589,3.91,1979,-71.5,35.6667,H6,Stony,Found,26938
Yamato 791590,20.57,1979,-71.5,35.6667,H4,Stony,Found,26939
Yamato 791591,57.09,1979,-71.5,35.6667,L6,Stony,Found,26940
Yamato 791592,1.33,1979,-71.5,35.6667,L6,Stony,Found,26941
Yamato 791593,0.86,1979,-71.5,35.6667,L6,Stony,Found,26942
Yamato 791594,0.78,1979,-71.5,35.6667,L6,Stony,Found,26943
Yamato 791595,5.84,1979,-71.5,35.6667,H5,Stony,Found,26944
Yamato 791596,1.92,1979,-71.5,35.6667,L4,Stony,Found,26945
Yamato 791597,147.99,1979,-71.5,35.6667,H6,Stony,Found,26946
Yamato 791598,8.16,1979,-71.5,35.6667,L4,Stony,Found,26947
Yamato 791599,8.55,1979,-71.5,35.6667,L4,Stony,Found,26948
Yamato 791600,0.74,1979,-71.5,35.6667,H4,Stony,Found,26949
Yamato 791601,2.06,1979,-71.5,35.6667,CV3,Stony,Found,26950
Yamato 791602,3.35,1979,-71.5,35.6667,H6,Stony,Found,26951
Yamato 791603,5.09,1979,-71.5,35.6667,Diogenite,Stony,Found,26952
Yamato 791604,297.44,1979,-71.5,35.6667,H4,Stony,Found,26953
Yamato 791605,112.63,1979,-71.5,35.6667,H5,Stony,Found,26954
Yamato 791606,182.4,1979,-71.5,35.6667,H4,Stony,Found,26955
Yamato 791607,55.63,1979,-71.5,35.6667,H5,Stony,Found,26956
Yamato 791608,19.77,1979,-71.5,35.6667,H5,Stony,Found,26957
Yamato 791609,18.9,1979,-71.5,35.6667,H5,Stony,Found,26958
Yamato 791610,22.61,1979,-71.5,35.6667,H5,Stony,Found,26959
Yamato 791611,14.85,1979,-71.5,35.6667,H5,Stony,Found,26960
Yamato 791612,15.97,1979,-71.5,35.6667,H5,Stony,Found,26961
Yamato 791613,15.5,1979,-71.5,35.6667,H5,Stony,Found,26962
Yamato 791614,21.47,1979,-71.5,35.6667,H5,Stony,Found,26963
Yamato 791615,18.22,1979,-71.5,35.6667,H5,Stony,Found,26964
Yamato 791616,7.29,1979,-71.5,35.6667,H5,Stony,Found,26965
Yamato 791617,8.93,1979,-71.5,35.6667,H5,Stony,Found,26966
Yamato 791618,6.7,1979,-71.5,35.6667,H5,Stony,Found,26967
Yamato 791619,4.01,1979,-71.5,35.6667,H4/5,Stony,Found,26968
Yamato 791620,5.86,1979,-71.5,35.6667,H4/5,Stony,Found,26969
Yamato 791621,2.44,1979,-71.5,35.6667,H4/5,Stony,Found,26970
Yamato 791622,1.91,1979,-71.5,35.6667,H4/5,Stony,Found,26971
Yamato 791623,1.73,1979,-71.5,35.6667,H4/5,Stony,Found,26972
Yamato 791624,1.07,1979,-71.5,35.6667,H4/5,Stony,Found,26973
Yamato 791625,1.4,1979,-71.5,35.6667,H4/5,Stony,Found,26974
Yamato 791626,1.32,1979,-71.5,35.6667,H4/5,Stony,Found,26975
Yamato 791627,1.82,1979,-71.5,35.6667,L6,Stony,Found,26976
Yamato 791628,4.95,1979,-71.5,35.6667,L6,Stony,Found,26977
Yamato 791629,128.02,1979,-71.5,35.6667,H4,Stony,Found,26978
Yamato 791630,2243.0,1979,-71.5,35.6667,L4,Stony,Found,26979
Yamato 791631,12.3,1979,-71.5,35.6667,H5,Stony,Found,26980
Yamato 791632,534.79,1979,-71.5,35.6667,L5,Stony,Found,26981
Yamato 791633,634.33,1979,-71.5,35.6667,L4,Stony,Found,26982
Yamato 791634,333.77,1979,-71.5,35.6667,L4,Stony,Found,26983
Yamato 791635,653.0,1979,-71.5,35.6667,L4,Stony,Found,26984
Yamato 791636,112.52,1979,-71.5,35.6667,L4,Stony,Found,26985
Yamato 791637,109.23,1979,-71.5,35.6667,L4,Stony,Found,26986
Yamato 791638,63.72,1979,-71.5,35.6667,L4,Stony,Found,26987
Yamato 791639,13.66,1979,-71.5,35.6667,H5,Stony,Found,26988
Yamato 791640,8.69,1979,-71.5,35.6667,H3,Stony,Found,26989
Yamato 791641,5.37,1979,-71.5,35.6667,L4,Stony,Found,26990
Yamato 791642,4.35,1979,-71.5,35.6667,L4,Stony,Found,26991
Yamato 791643,2.85,1979,-71.5,35.6667,L4,Stony,Found,26992
Yamato 791644,134.58,1979,-71.5,35.6667,L4,Stony,Found,26993
Yamato 791645,55.95,1979,-71.5,35.6667,L4,Stony,Found,26994
Yamato 791646,12.59,1979,-71.5,35.6667,L4,Stony,Found,26995
Yamato 791647,4.62,1979,-71.5,35.6667,L4,Stony,Found,26996
Yamato 791648,5.48,1979,-71.5,35.6667,L4,Stony,Found,26997
Yamato 791649,2.32,1979,-71.5,35.6667,L4,Stony,Found,26998
Yamato 791650,0.78,1979,-71.5,35.6667,L4,Stony,Found,26999
Yamato 791651,3.05,1979,-71.5,35.6667,L4,Stony,Found,27000
Yamato 791652,349.1,1979,-71.5,35.6667,H6,Stony,Found,27001
Yamato 791653,7.89,1979,-71.5,35.6667,L4,Stony,Found,27002
Yamato 791654,3.35,1979,-71.5,35.6667,L4,Stony,Found,27003
Yamato 791655,48.78,1979,-71.5,35.6667,L4,Stony,Found,27004
Yamato 791656,9.96,1979,-71.5,35.6667,LL3.5,Stony,Found,27005
Yamato 791657,1.53,1979,-71.5,35.6667,L3,Stony,Found,27006
Yamato 791658,14.87,1979,-71.5,35.6667,H4,Stony,Found,27007
Yamato 791659,10.17,1979,-71.5,35.6667,L4,Stony,Found,27008
Yamato 791660,3.25,1979,-71.5,35.6667,L4,Stony,Found,27009
Yamato 791661,114.1,1979,-71.5,35.6667,L4,Stony,Found,27010
Yamato 791662,89.57,1979,-71.5,35.6667,L4,Stony,Found,27011
Yamato 791663,50.42,1979,-71.5,35.6667,H4,Stony,Found,27012
Yamato 791664,45.54,1979,-71.5,35.6667,H4,Stony,Found,27013
Yamato 791665,20.15,1979,-71.5,35.6667,H4,Stony,Found,27014
Yamato 791666,9.94,1979,-71.5,35.6667,H4,Stony,Found,27015
Yamato 791667,0.45,1979,-71.5,35.6667,H4,Stony,Found,27016
Yamato 791668,732.0,1979,-71.5,35.6667,LL4,Stony,Found,27017
Yamato 791669,334.85,1979,-71.5,35.6667,L4,Stony,Found,27018
Yamato 791670,541.72,1979,-71.5,35.6667,L4,Stony,Found,27019
Yamato 791671,13.29,1979,-71.5,35.6667,L4,Stony,Found,27020
Yamato 791672,5.13,1979,-71.5,35.6667,L4,Stony,Found,27021
Yamato 791673,2.64,1979,-71.5,35.6667,H4,Stony,Found,27022
Yamato 791674,50.1,1979,-71.5,35.6667,L4,Stony,Found,27023
Yamato 791675,27.85,1979,-71.5,35.6667,L4,Stony,Found,27024
Yamato 791676,10.36,1979,-71.5,35.6667,L4,Stony,Found,27025
Yamato 791677,473.05,1979,-71.5,35.6667,L4,Stony,Found,27026
Yamato 791678,259.1,1979,-71.5,35.6667,L4,Stony,Found,27027
Yamato 791679,18.46,1979,-71.5,35.6667,L4,Stony,Found,27028
Yamato 791680,284.98,1979,-71.5,35.6667,L4,Stony,Found,27029
Yamato 791681,71.07,1979,-71.5,35.6667,L4,Stony,Found,27030
Yamato 791682,123.73,1979,-71.5,35.6667,L4,Stony,Found,27031
Yamato 791683,96.6,1979,-71.5,35.6667,L4,Stony,Found,27032
Yamato 791684,33.01,1979,-71.5,35.6667,H5,Stony,Found,27033
Yamato 791685,27.02,1979,-71.5,35.6667,H5,Stony,Found,27034
Yamato 791686,19.03,1979,-71.5,35.6667,H5,Stony,Found,27035
Yamato 791687,6.82,1979,-71.5,35.6667,H5,Stony,Found,27036
Yamato 791688,5.67,1979,-71.5,35.6667,H5,Stony,Found,27037
Yamato 791689,2.68,1979,-71.5,35.6667,H5,Stony,Found,27038
Yamato 791690,2.26,1979,-71.5,35.6667,H5,Stony,Found,27039
Yamato 791691,1.06,1979,-71.5,35.6667,H5,Stony,Found,27040
Yamato 791692,0.4,1979,-71.5,35.6667,H5,Stony,Found,27041
Yamato 791694,70.89,1979,-71.5,35.6667,"Iron, IAB complex",Iron,Found,27043
Yamato 791695,352.1,1979,-71.5,35.6667,L4,Stony,Found,27044
Yamato 791696,0.81,1979,-71.5,35.6667,LL6,Stony,Found,27045
Yamato 791697,1.44,1979,-71.5,35.6667,L4,Stony,Found,27046
Yamato 791699,2.91,1979,-71.5,35.6667,H4,Stony,Found,27048
Yamato 791700,1.39,1979,-71.5,35.6667,L6,Stony,Found,27049
Yamato 791703,25.48,1979,-71.5,35.6667,L4,Stony,Found,27052
Yamato 791704,93.1,1979,-71.5,35.6667,L4,Stony,Found,27053
Yamato 791705,172.47,1979,-71.5,35.6667,L4,Stony,Found,27054
Yamato 791706,341.1,1979,-71.5,35.6667,L4,Stony,Found,27055
Yamato 791708,126.98,1979,-71.5,35.6667,L4,Stony,Found,27057
Yamato 791709,174.32,1979,-71.5,35.6667,L4,Stony,Found,27058
Yamato 791710,1607.0,1979,-71.5,35.6667,L4,Stony,Found,27059
Yamato 791711,28.91,1979,-71.5,35.6667,L4,Stony,Found,27060
Yamato 791712,14.24,1979,-71.5,35.6667,L4,Stony,Found,27061
Yamato 791713,2.79,1979,-71.5,35.6667,L4,Stony,Found,27062
Yamato 791714,3.59,1979,-71.5,35.6667,L4,Stony,Found,27063
Yamato 791715,13.39,1979,-71.5,35.6667,L5,Stony,Found,27064
Yamato 791716,193.21,1979,-71.5,35.6667,H4,Stony,Found,27065
Yamato 791717,25322.0,1979,-71.5,35.6667,CO3.3,Stony,Found,27066
Yamato 791718,184.01,1979,-71.5,35.6667,CO3,Stony,Found,27067
Yamato 791719,170.69,1979,-71.5,35.6667,CO3,Stony,Found,27068
Yamato 791720,117.52,1979,-71.5,35.6667,CO3,Stony,Found,27069
Yamato 791721,9.8,1979,-71.5,35.6667,CO3,Stony,Found,27070
Yamato 791722,8.95,1979,-71.5,35.6667,CO3,Stony,Found,27071
Yamato 791723,7.13,1979,-71.5,35.6667,CO3,Stony,Found,27072
Yamato 791724,3.61,1979,-71.5,35.6667,CO3,Stony,Found,27073
Yamato 791725,47.07,1979,-71.5,35.6667,CO3,Stony,Found,27074
Yamato 791726,4.98,1979,-71.5,35.6667,H4,Stony,Found,27075
Yamato 791727,18.17,1979,-71.5,35.6667,L4,Stony,Found,27076
Yamato 791728,48.2,1979,-71.5,35.6667,H4,Stony,Found,27077
Yamato 791729,51.3,1979,-71.5,35.6667,H4,Stony,Found,27078
Yamato 791730,34.8,1979,-71.5,35.6667,H4,Stony,Found,27079
Yamato 791731,24.83,1979,-71.5,35.6667,H4,Stony,Found,27080
Yamato 791732,25.52,1979,-71.5,35.6667,H4,Stony,Found,27081
Yamato 791733,15.59,1979,-71.5,35.6667,H4,Stony,Found,27082
Yamato 791734,19.47,1979,-71.5,35.6667,H4,Stony,Found,27083
Yamato 791735,11.79,1979,-71.5,35.6667,H4,Stony,Found,27084
Yamato 791736,14.61,1979,-71.5,35.6667,H4,Stony,Found,27085
Yamato 791737,15.34,1979,-71.5,35.6667,H4,Stony,Found,27086
Yamato 791738,9.38,1979,-71.5,35.6667,H4,Stony,Found,27087
Yamato 791739,8.42,1979,-71.5,35.6667,H4,Stony,Found,27088
Yamato 791740,14.54,1979,-71.5,35.6667,H4,Stony,Found,27089
Yamato 791741,11.23,1979,-71.5,35.6667,H4,Stony,Found,27090
Yamato 791742,1.84,1979,-71.5,35.6667,H4,Stony,Found,27091
Yamato 791743,16.63,1979,-71.5,35.6667,L6,Stony,Found,27092
Yamato 791744,20.73,1979,-71.5,35.6667,L5,Stony,Found,27093
Yamato 791745,17.62,1979,-71.5,35.6667,CO3,Stony,Found,27094
Yamato 791746,8.59,1979,-71.5,35.6667,CO3,Stony,Found,27095
Yamato 791747,5.84,1979,-71.5,35.6667,CO3,Stony,Found,27096
Yamato 791748,8.33,1979,-71.5,35.6667,CO3,Stony,Found,27097
Yamato 791749,2.01,1979,-71.5,35.6667,H5,Stony,Found,27098
Yamato 791750,83.53,1979,-71.5,35.6667,L4,Stony,Found,27099
Yamato 791751,23.72,1979,-71.5,35.6667,L4,Stony,Found,27100
Yamato 791752,12.88,1979,-71.5,35.6667,L4,Stony,Found,27101
Yamato 791753,13.64,1979,-71.5,35.6667,L4,Stony,Found,27102
Yamato 791754,9.25,1979,-71.5,35.6667,L4,Stony,Found,27103
Yamato 791755,7.7,1979,-71.5,35.6667,L4,Stony,Found,27104
Yamato 791756,3.72,1979,-71.5,35.6667,L4,Stony,Found,27105
Yamato 791757,3.83,1979,-71.5,35.6667,L4,Stony,Found,27106
Yamato 791758,3.66,1979,-71.5,35.6667,L4,Stony,Found,27107
Yamato 791759,3.17,1979,-71.5,35.6667,L4,Stony,Found,27108
Yamato 791760,3.8,1979,-71.5,35.6667,L4,Stony,Found,27109
Yamato 791761,3.81,1979,-71.5,35.6667,L4,Stony,Found,27110
Yamato 791762,4.06,1979,-71.5,35.6667,L4,Stony,Found,27111
Yamato 791763,1.91,1979,-71.5,35.6667,L4,Stony,Found,27112
Yamato 791764,1.59,1979,-71.5,35.6667,L4,Stony,Found,27113
Yamato 791765,1.33,1979,-71.5,35.6667,L4,Stony,Found,27114
Yamato 791766,1.29,1979,-71.5,35.6667,L4,Stony,Found,27115
Yamato 791767,1.31,1979,-71.5,35.6667,L4,Stony,Found,27116
Yamato 791768,1.25,1979,-71.5,35.6667,L4,Stony,Found,27117
Yamato 791769,0.94,1979,-71.5,35.6667,L4,Stony,Found,27118
Yamato 791770,1.58,1979,-71.5,35.6667,L4,Stony,Found,27119
Yamato 791771,156.43,1979,-71.5,35.6667,L6,Stony,Found,27120
Yamato 791772,7.18,1979,-71.5,35.6667,L6,Stony,Found,27121
Yamato 791773,4.14,1979,-71.5,35.6667,L6,Stony,Found,27122
Yamato 791774,37.5,1979,-71.5,35.6667,H6,Stony,Found,27123
Yamato 791775,110.58,1979,-71.5,35.6667,H6,Stony,Found,27124
Yamato 791776,2543.0,1979,-71.5,35.6667,H6,Stony,Found,27125
Yamato 791777,43.81,1979,-71.5,35.6667,H6,Stony,Found,27126
Yamato 791778,7.74,1979,-71.5,35.6667,H6,Stony,Found,27127
Yamato 791779,6.08,1979,-71.5,35.6667,H6,Stony,Found,27128
Yamato 791780,2.98,1979,-71.5,35.6667,H6,Stony,Found,27129
Yamato 791781,409.53,1979,-71.5,35.6667,L6,Stony,Found,27130
Yamato 791782,17.73,1979,-71.5,35.6667,L6,Stony,Found,27131
Yamato 791783,323.21,1979,-71.5,35.6667,H5,Stony,Found,27132
Yamato 791784,44.07,1979,-71.5,35.6667,H5,Stony,Found,27133
Yamato 791785,8826.0,1979,-71.5,35.6667,H5,Stony,Found,27134
Yamato 791786,64.47,1979,-71.5,35.6667,L5,Stony,Found,27135
Yamato 791787,37.38,1979,-71.5,35.6667,H4,Stony,Found,27136
Yamato 791788,21.68,1979,-71.5,35.6667,L6,Stony,Found,27137
Yamato 791789,2.55,1979,-71.5,35.6667,L6,Stony,Found,27138
Yamato 791790,31.65,1979,-71.5,35.6667,EH3,Stony,Found,27139
Yamato 791791,45.46,1979,-71.5,35.6667,H4,Stony,Found,27140
Yamato 791792,2.78,1979,-71.5,35.6667,H5,Stony,Found,27141
Yamato 791793,53.14,1979,-71.5,35.6667,H4,Stony,Found,27142
Yamato 791794,11.31,1979,-71.5,35.6667,H4,Stony,Found,27143
Yamato 791795,8.39,1979,-71.5,35.6667,H4,Stony,Found,27144
Yamato 791796,6.31,1979,-71.5,35.6667,H4,Stony,Found,27145
Yamato 791797,4.22,1979,-71.5,35.6667,H4,Stony,Found,27146
Yamato 791798,3.78,1979,-71.5,35.6667,H4,Stony,Found,27147
Yamato 791799,1.08,1979,-71.5,35.6667,H4,Stony,Found,27148
Yamato 791800,12.17,1979,-71.5,35.6667,H4,Stony,Found,27149
Yamato 791801,27.84,1979,-71.5,35.6667,H4,Stony,Found,27150
Yamato 791802,58.89,1979,-71.5,35.6667,L4,Stony,Found,27151
Yamato 791803,11.07,1979,-71.5,35.6667,L4,Stony,Found,27152
Yamato 791804,9.32,1979,-71.5,35.6667,L4,Stony,Found,27153
Yamato 791805,15.18,1979,-71.5,35.6667,H4,Stony,Found,27154
Yamato 791806,11.88,1979,-71.5,35.6667,H5,Stony,Found,27155
Yamato 791810,39.64,1979,-71.5,35.6667,EH4,Stony,Found,27159
Yamato 791811,30.05,1979,-71.5,35.6667,EH4,Stony,Found,27160
Yamato 791812,4.3,1979,-71.5,35.6667,EH4,Stony,Found,27161
Yamato 791814,5.44,1979,-71.5,35.6667,H4,Stony,Found,27163
Yamato 791815,3.24,1979,-71.5,35.6667,H4,Stony,Found,27164
Yamato 791816,5.13,1979,-71.5,35.6667,H4,Stony,Found,27165
Yamato 791817,3.68,1979,-71.5,35.6667,H4,Stony,Found,27166
Yamato 791818,1.32,1979,-71.5,35.6667,H4,Stony,Found,27167
Yamato 791819,0.62,1979,-71.5,35.6667,H4,Stony,Found,27168
Yamato 791820,572.12,1979,-71.5,35.6667,H5,Stony,Found,27169
Yamato 791821,662.0,1979,-71.5,35.6667,H5,Stony,Found,27170
Yamato 791822,11.58,1979,-71.5,35.6667,H5,Stony,Found,27171
Yamato 791823,8.72,1979,-71.5,35.6667,H5,Stony,Found,27172
Yamato 791824,23.28,1979,-71.5,35.6667,CM2,Stony,Found,27173
Yamato 791825,29.15,1979,-71.5,35.6667,CM2,Stony,Found,27174
Yamato 791826,115.35,1979,-71.5,35.6667,Eucrite-pmict,Stony,Found,27175
Yamato 791827,9.02,1979,-71.5,35.6667,R4,Stony,Found,27176
Yamato 791828,841.0,1979,-71.5,35.6667,L3.9,Stony,Found,27177
Yamato 791829,9.27,1979,-71.5,35.6667,Diogenite,Stony,Found,27178
Yamato 791830,16.18,1979,-71.5,35.6667,H5,Stony,Found,27179
Yamato 791831,14.73,1979,-71.5,35.6667,L5,Stony,Found,27180
Yamato 791832,105.87,1979,-71.5,35.6667,L5,Stony,Found,27181
Yamato 791833,116.35,1979,-71.5,35.6667,L5,Stony,Found,27182
Yamato 791834,11.39,1979,-71.5,35.6667,Eucrite-pmict,Stony,Found,27183
Yamato 791835,23.8,1979,-71.5,35.6667,LL3.7,Stony,Found,27184
Yamato 791836,4.29,1979,-71.5,35.6667,Iron,Iron,Found,27185
Yamato 791837,12.52,1979,-71.5,35.6667,H4,Stony,Found,27186
Yamato 791838,16.0,1979,-71.5,35.6667,Diogenite,Stony,Found,27187
Yamato 791839,5.8,1979,-71.5,35.6667,Ureilite,Stony,Found,27188
Yamato 791840,309.55,1979,-71.5,35.6667,L4,Stony,Found,27189
Yamato 791841,7.19,1979,-71.5,35.6667,L5,Stony,Found,27190
Yamato 791842,10.9,1979,-71.5,35.6667,H4,Stony,Found,27191
Yamato 791843,7.55,1979,-71.5,35.6667,L3,Stony,Found,27192
Yamato 791844,161.34,1979,-71.5,35.6667,L5,Stony,Found,27193
Yamato 791845,1559.0,1979,-71.5,35.6667,H6,Stony,Found,27194
Yamato 791846,34.93,1979,-71.5,35.6667,L4,Stony,Found,27195
Yamato 791847,6.86,1979,-71.5,35.6667,L6,Stony,Found,27196
Yamato 791848,2.95,1979,-71.5,35.6667,H5,Stony,Found,27197
Yamato 791849,41.57,1979,-71.5,35.6667,H5,Stony,Found,27198
Yamato 791850,14.17,1979,-71.5,35.6667,H5,Stony,Found,27199
Yamato 791851,13.86,1979,-71.5,35.6667,L5,Stony,Found,27200
Yamato 791852,4.61,1979,-71.5,35.6667,L5,Stony,Found,27201
Yamato 791853,1.38,1979,-71.5,35.6667,Mesosiderite,Stony-Iron,Found,27202
Yamato 791854,0.87,1979,-71.5,35.6667,E3,Stony,Found,27203
Yamato 791855,8.36,1979,-71.5,35.6667,L6,Stony,Found,27204
Yamato 791856,26.11,1979,-71.5,35.6667,H3.3,Stony,Found,27205
Yamato 791857,116.34,1979,-71.5,35.6667,H4,Stony,Found,27206
Yamato 791858,2.14,1979,-71.5,35.6667,H6,Stony,Found,27207
Yamato 791859,57.2,1979,-71.5,35.6667,H5,Stony,Found,27208
Yamato 791860,25.16,1979,-71.5,35.6667,H5,Stony,Found,27209
Yamato 791861,256.74,1979,-71.5,35.6667,H6,Stony,Found,27210
Yamato 791862,80.91,1979,-71.5,35.6667,H6,Stony,Found,27211
Yamato 791863,27.15,1979,-71.5,35.6667,H6,Stony,Found,27212
Yamato 791864,10.91,1979,-71.5,35.6667,H6,Stony,Found,27213
Yamato 791865,729.0,1979,-71.5,35.6667,L6,Stony,Found,27214
Yamato 791866,51.4,1979,-71.5,35.6667,L6,Stony,Found,27215
Yamato 791867,48.16,1979,-71.5,35.6667,L6,Stony,Found,27216
Yamato 791868,68.34,1979,-71.5,35.6667,H4,Stony,Found,27217
Yamato 791869,6784.0,1979,-71.5,35.6667,H5,Stony,Found,27218
Yamato 791870,404.14,1979,-71.5,35.6667,H4,Stony,Found,27219
Yamato 791871,40.58,1979,-71.5,35.6667,H4,Stony,Found,27220
Yamato 791872,29.14,1979,-71.5,35.6667,H4,Stony,Found,27221
Yamato 791873,34.58,1979,-71.5,35.6667,H4,Stony,Found,27222
Yamato 791874,25.72,1979,-71.5,35.6667,H4,Stony,Found,27223
Yamato 791875,15.29,1979,-71.5,35.6667,H4,Stony,Found,27224
Yamato 791876,16.85,1979,-71.5,35.6667,H4,Stony,Found,27225
Yamato 791877,8.12,1979,-71.5,35.6667,H4,Stony,Found,27226
Yamato 791878,8.35,1979,-71.5,35.6667,H4,Stony,Found,27227
Yamato 791879,97.96,1979,-71.5,35.6667,H4,Stony,Found,27228
Yamato 791880,13.32,1979,-71.5,35.6667,H4,Stony,Found,27229
Yamato 791881,6.81,1979,-71.5,35.6667,H5,Stony,Found,27230
Yamato 791882,6.65,1979,-71.5,35.6667,H5,Stony,Found,27231
Yamato 791883,5.18,1979,-71.5,35.6667,H5,Stony,Found,27232
Yamato 791884,5.09,1979,-71.5,35.6667,H5,Stony,Found,27233
Yamato 791885,4.82,1979,-71.5,35.6667,H5,Stony,Found,27234
Yamato 791886,4.09,1979,-71.5,35.6667,H5,Stony,Found,27235
Yamato 791887,4.98,1979,-71.5,35.6667,H5,Stony,Found,27236
Yamato 791888,3.55,1979,-71.5,35.6667,H5,Stony,Found,27237
Yamato 791889,3.68,1979,-71.5,35.6667,H5,Stony,Found,27238
Yamato 791890,3.32,1979,-71.5,35.6667,H5,Stony,Found,27239
Yamato 791891,4.14,1979,-71.5,35.6667,H5,Stony,Found,27240
Yamato 791892,3.55,1979,-71.5,35.6667,H5,Stony,Found,27241
Yamato 791893,3.55,1979,-71.5,35.6667,H5,Stony,Found,27242
Yamato 791894,2.69,1979,-71.5,35.6667,H5,Stony,Found,27243
Yamato 791895,2.43,1979,-71.5,35.6667,H5,Stony,Found,27244
Yamato 791896,2.33,1979,-71.5,35.6667,H5,Stony,Found,27245
Yamato 791897,3.26,1979,-71.5,35.6667,H5,Stony,Found,27246
